,分ち書き
1247,就中（わきても）魂消（たまげ）しは鮪（しび）醤油漬（しやうゆづけ）
1248,
1249,亭主（あるじ）に遵（したが）ひ口中（くちのなか）に留（と）め置（お）くこと霎時（しばし）
1250,
1251,忽地（たちまち）、芳香（かぐはしきかをり）四方（よも）に漂ひ鼻竅（はな）を穿（うが）つ
1252,
1253,宛然（あたかも）、最上質（いとよ）き燻製（くんせい）でも啖（くら）ふがごとし
1254,
1255,鮃（ひらめ）は振鹽（ふりじほ）施（ほどこ）して五日（いつか）
1256,
1257,さりながら、倣（なら）ひの昆布（こぶ）〆を忌嫌（いみきら）ふ
1258,
1259,生の儘（まゝ）とも昆布（こぶ）〆とも異（こと）なる主人（あるじ）ならではの鮃（ひらめ）
1260,
1261,見目（みため）に逆（さか）らひ佳味（よきあぢ）なるは勿論（いふもさらなり）
1262,
1263,山葵（わさび）卸（おろ）すは銅製（あかゞね）
1264,擂（す）ること都合（あはせて）纔（わづ）かに二度（ふたゝび）
1265,
1266,「鮫皮（さめがは）は割烹修業（かッぱうあがり）、鮓修業（すしや）なら銅（あかゞね）」、
1267,「何者（なんとなれば）、角（つの）立（た）つを嫌（きら）へばなり」と説（と）く
1268,
1269,実家（いへ）と加州（かゞ）の地（ち）にて料理（れうり）を習得（ならひおぼ）へ、
1270,今（いま）や斯界（そのみち）では、紛（まが）ふ方（かた）なき手煆煉（てだれ）
1271,
1272,"かく腕（うで）を持ちながら、敢（あ）へて""摘（つま）み""の類（たぐひ）を避（さ）け、"
1273,鮓（すし）にその技藝（わざ）全（すべ）てを傾注（そゝぎこむ）
1274,
1275,これ宛然（あたかも）、劍（けん）の達人（たつじん）が刀（かたな）を捨（す）て、
1276,徒手空拳（としゆくうけん）にて荒（あら）くれ者（もの）に立向（たちむか）ふに似たり
1277,
1278,あるいは、高名（たかきな）を捨（す）て世俗（よ）を嫌（きら）ひ、
1279,奥山（おくやま）の方丈（はうぢやう）に棲（す）まふ仙人（せんにん）と云ふべきか
1280,
1281,以爲（おも）ふに、徒（いたづら）なる保温（ほおん）避（さ）くるは、
1282,水（みづ）の高（たか）きより低（ひく）きに流（なが）れ、
1283,夏（なつ）の暑（あつ）きを避けず、冬（ふゆ）の寒（さむ）きを愉（たの）しむがごとし
1284,
1285,自然（じねん）を敬（うやま）ひ、天道（てんたう）に逆（さか）らはず
1286,
1287,これほど自然（じねん）の攝理（せつり）に遵（したが）ひつゝも、
1288,温度（あたゝかさ）を檢知（し）るに、勘（かん）に頼（たよ）らずセンサを用（つか）ふ
1289,
1290,傳統（ふるき）を尊（たふと）び、新（あらた）なるものを拒否（こばま）ぬ姿勢（すがた）
1291,
1292,これ、今（いま）をときめく凄腕（すごうで）杜氏（とうじ）に彷彿（さもにたり）
1293,
1294,"【2011-12-18記】：""獨善（どくぜん）""と""獨創（どくさう）""の相違（たがひ）は紙一重（かみひとへ）"
1295,
1296,この日（ひ）の開店前（みせびらきまへ）當店（こちら）に伺（うかゞ）ふに、
1297,鮨飯（すめし）を飯臺（はんだい）の上（うへ）に切（き）る杓文字（しやもじ）の音（おと）
1298,
1299,これ一（ひと）つ目（め）の驚（おどろ）き
1300,
1301,高名（なのある）廛（みせ）なれば、
1302,一時間～三時間は舎利（しやり）馴染（なじ）ますが尋常（つね）
1303,
1304,しかるに、小さな櫃（ひつ）に移し、蓋（ふた）開（あ）けた儘（まゝ）それをうち遣（や）る
1305,
1306,これ二（ふた）つ目（め）の驚（おどろ）き
1307,
1308,小振（こぶ）りの中伊豆産（なかいづさん）山葵（わさび）の皮（かは）を剥（む）き、
1309,完（まる）ごと一氣呵成（ひといき）に擂（す）り卸（おろ）す
1310,
1311,最後（いやはて）まで再（ふたゝ）び卸（おろ）すことなく、氣の拔くるに任（まか）す
1312,
1313,これ三（みッ）つ目（め）の驚（おどろ）き
1314,
1315,四（よッ）つ目（め）の驚（おどろ）きは疱丁（はうちやう）
1316,
1317,手煆煉（てだれ）が嗜（この）む本燒（ほんやき）と異（こと）なるみすぼらしき品（しな）
1318,
1319,"一尺三寸（いッしやくさんずん）の柳刄は武州馬込（ぶしうまごめ）""定康（さだやす）"""
1320,
1321,刀鍛冶（かたなかじ）の流れを汲む由緒（すぢめ）正（たゞ）しき家柄（いへがら）とぞ
1322,
1323,舎利（しやり）・生薑（はじかみ）
1324,は勿論（いふにおよばず）、
1325,煮切（にき）りまでもが寸毫（つゆ）甜味（あまみ）を含まぬキリヽとした口味（あぢ）
1326,
1327,主人（あるじ）語るに、「沙糖（さたう）は鮨種（すしだね）の持味（もちあぢ）を殺す」と
1328,
1329,これ五（いつ）ゝ目（め）の驚（おどろ）き
1330,
1331,一（ひと）つとして生（なま）の儘（まゝ）の鮨種（すしだね）はなく、
1332,あるいは煮切（にきり）に漬（つ）け、あるいは鹽（しほ）を打ち、酢（す）に通（とほ）す
1333,
1334,鯛、鮃、墨烏賊（すみいか）、細魚（さより）、赤貝（あかゞひ）、いづれもしかり
1335,
1336,これ六（むッ）つ目（め）の驚（おどろ）き
1337,
1338,加旃（しかのみならず）、煮切（にき）りは雀（すゞめ）の涙（なみだ）ほど纔（わづ）か
1339,
1340,豫（あらかじ）め施（ほどこ）したる鹽（しほ）が生（い）き、
1341,かくのごとく僅少（すく）なき煮切（にき）りにても適當（ほどよ）き鹽梅となりつらん
1342,
1343,これ七（なゝ）つ目（め）の驚（おどろ）き
1344,
1345,鮃（ひらめ）は六百十三匁（ろッぴやくじふさんもんめ、=2
1346,3kg）、
1347,鰤（ぶり）四貫三百四十七匁（よんくわんさんびやくよんじふなゝもんめ、=16
1348,3kg）と大振り
1349,
1350,就中（わきても）眞鯛は九百七匁（きゆうひやくなゝもんめ、=3
1351,4kg）と、
1352,常識（じやうしき）*)を覆（くつがへ）す大きさ
1353,
1354,"眞鯛（まだひ）と鰤（ぶり）は""背側（せがは）""と""腹身（はらみ）""を合（あ）はせ、"
1355,"蟹（かに）は""楚蟹（すはえがに）""**)と""せいこ蟹""を併（あ）はせて用（つか）ふ"
1356,
1357,鮃（ひらめ）の縁側（えんがは）や骨邊肉（あら）を使（つか）ふ景色（けしき）なし
1358,
1359,これ九（こゝの）つ目（め）の驚（おどろ）き
1360,
1361,"海苔（のり）は三河（みかは）の""あおさ""入（い）り"
1362,
1363,名（な）にし負（お）ひ、音（おと）に聞（き）く舖（みせ）なら炙（あぶ）るが倣（なら）ひ
1364,
1365,仕入（しい）れて炙（あぶ）らぬまゝなれど、香（かをり）と口溶（くちど）けに秀（ひい）づ
1366,
1367,これにて十（とほ）の驚（おどろ）き
1368,
1369,半晌（はんとき）經（た）ち、一晌（いッとき）經（た）つほどに、
1370,山葵（わさび）は氣（き）が拔け、舎利（しやり）の冷（つめ）たくなるばかりなれど、
1371,想定外（おもひのほか）に違和感（いわかん）なし
1372,
1373,これ十一（とあまりひとつ）めの驚（おどろ）き
1374,
1375,"""鶏卵燒(かひごや)き""には大約(およそ)二時間半（にじかんはん）の手間隙(てまひま)"
1376,
1377,芝蝦（しばえび）を叮嚀（ねんごろ）に擂（す）り、薯蕷（やまいも）鶏卵(かひご)を加ふ
1378,
1379,燒（や）くだけで一時間十分（いちじかんじッぷん）と云ふ
1380,
1381,これ十二（とあまりふたつ）めの驚（おどろ）き
1382,この日は、墨烏賊（すみいか）、細魚（さより）、赤貝（あかゞひ）、小鰭（こはだ）、鮃、
1383,眞鯛、鮪（しび）、牡蠣（かき）、眞鯖（さば）、鮭腹子（いくら）、鰤（ぶり）、鰆（さはら）、
1384,鮪（しび）脂身に近きところ、雲子（くもこ）、鮪（しび）脂身（あぶ）、楚蟹（すはえがに）、
1385,鐵火卷（てつくわまき）、干瓢卷（かんぺうまき）、鶏卵燒（たまごやき）
1386,
1387,鶏卵燒（たまごや）きは名（な）のある廛（みせ）のそれが長（た）け、
1388,鮃（ひらめ）は生に如かず、縁側（えんがは）骨邊肉（あら）なきは口惜（くちを）しきかぎり
1389,
1390,されど、鹽（しほ）を打（う）ち、厚（あつ）きところを開（ひら）きたる細魚（さより）、
1391,醤油漬（しやうゆづ）けの鮪（しび）脂身（あぶらみ）に近きところは眞（まこと）の美味（びみ）
1392,漬臺（つけだい）と俎（まないた）は檜（ひのき）にて手入（てい）れがゆき屆（とゞ）き、
1393,櫃（ひつ）は誂（あつら）への漆塗（うるしぬ）り
1394,
1395,網代天井（あじろてんじやう）も見事（みごと）なる立派（りッぱ）な普請（ふしん）
1396,
1397,落着きを缺（か）く設（しつら）へながら、これはこれで亭主（あるじ）が嗜（この）み
1398,
1399,亭主（あるじ）の手附（てつ）きに淀（よど）み少なく、舎利（しやり）捨（す）つるは稀（まれ）
1400,
1401,左拇（ひだりおやゆび）を效かすことなく、包（つゝ）むがごとくに鮨（すし）を握（にぎ）る
1402,
1403,惜（を）しむらくは、疱丁（はうちやう）を一息（ひといき）に引（ひ）かぬこと
1404,
1405,"彼（かれ）が""定康（さだやす）""本燒（ほんやき）を凌駕（しの）ぐか審（つまびらか）ならず"
1406,此度（こだみ）口（くち）にせし鮨（すし）は合はせて大約（およそ）二十貫（にじッくわん）
1407,
1408,握（にぎ）り十八貫（じふはちくわん）に卷物（まきもの）二種（ふたくさ）
1409,
1410,これで支拂（しはら）ひは二萬圓（にまんゑん）ほど
1411,
1412,銀座（ぎんざ）の☆☆☆よりは廉（やす）く、行きつけの賈（みせ）よりは割高（わりだか）
1413,
1414,倩(つらつら)當店（こちら）の流儀（やりかた）を惟（おもんみ）るに、手に負へぬ
1415,"""獨善（ひとりよがり）""か、はたまた類稀（たぐひまれ）なる""獨創（どくさう）""か"
1416,
1417,『久兵衞』、『與志乃』、『鶴八』などいづれの一門（いちもん）・系譜（けいふ）にも屬さず、
1418,東都（えど）の鮨界（すしかい）では異端（いたん）の存在（そんざい）なるは疑ふべくもなし
1419,
1420,同（おな）じ鮨好（すしず）きと云ふとも、
1421,ある人はその異端（いたん）ぶりを許（ゆる）しがたき邪道（よこしまなるみち）と斷（だん）じ、
1422,"またある客（ひと）は""目から鱗（うろこ）""、""頂門（ちやうもん）の一針（いッしん）""となさん"
1423,
1424,僕（やつかれ）は紛（まぎ）れもなく後者（こうしや）
1425,
1426,－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－－*)鯛（たひ）は五百匁（ごひやくもんめ、=1
1427,8kg）ほどのものを最善（もつともよし）とす
1428,"**)この日（ひ）は但州（たんしう）""香住（かすみ）""のもの"
1429,
1430,まず、ミシュランの調査員に言いたい
1431,星２つ
1432,お前の舌は狂ってるのか
1433,星３つが妥当だろうが
1434,
1435,
1436,と
1437,「星３つ付けちゃったら上司に怒られちゃうかも（；＿；）」みたいな葛藤があったに違いない
1438,そうでなければおかしい
1439,ここの鮨は東京で一番美味いと言っても過言ではないのだから
1440,私は暇と金さえあれば鮨を食いに行く
1441,東京の鮨屋はほとんど行っただろう
1442,（弟子をとっている店では、大将に握ってもらえなかったことがあるけどね）回転寿司にも行くし、友人の子供が握ったおにぎりみたいな寿司でも喜んで食う
1443,とにかく、鮨が好きなのだ
1444,仕事で東京に張り付いていないといけないため、北海道や大阪、九州の美味い鮨屋に行けないのが非常に残念だが、そんな私が謙虚に評価しても、初音の鮨は東京一だと思う
1445,じゃあ、何がどんだけ美味いのか説明できるかと言うと
1446,無理だ（笑）それではレビューではなくただの宣伝になってしまうので、簡単に説明すると、≪シャリに関して≫他のレビューにもあるとおり、シャリには赤酢が使われている
1447,赤酢と聞いて、眉をひそめる人がいるのも無理はない
1448,近年、「なんちゃって鮨職人」が増えたせいで、珍しいからというだけで無暗に赤酢を使う店が増えた
1449,どの店もシャリにエグみがあって、酢がきつく、ネタとマッチしていない
1450,蒲田にも、初音以外に赤酢を使う鮨屋が二軒あるが、どちらもイマイチだ
1451,しかし、初音は違う
1452,まあ、そんじょそこらの赤酢ではないのだろうが、酢そのものに嫌なクセがないのだ
1453,まろやかで口当たりがよく、シャリ全体をコーティングし、舌を優しく刺激してくれる
1454,このシャリはヤミツキになる
1455,コースが始まる前、大将はほんのり赤色を帯びた炊き立てのシャリをみなに振る舞ってくれる
1456,その際、大将が「シャリだけでは物足りないでしょ
1457,なぜかって
1458,ネタがないから」と小粋なこと言うが、「そんなことはない
1459,
1460,
1461,そのシャリ全部食わせてくれ
1462,
1463,
1464,
1465,」というのが私の本音だ（笑）このシャリが、烏賊に始まり干瓢巻で終わるまで、私たちの口の中で、主役であるネタを引き立てつつ、米一粒一粒の力強さを感じさせてくれる
1466,初音の鮨は、よーくよーく噛んで味わって欲しい
1467,最後に口の中に残っているのは、シャリの味だ
1468,そう
1469,鮨が口に入ると、瞬時に広がるのはネタの旨味
1470,だが、それだけ早くその旨味は胃の中へと消えてしまう
1471,そんな中、シャリは最後まで私たちを楽しませてくれる
1472,米の旨味を、今みなさんは想像できるだろうか
1473,舌に甦らせることができるだろうか
1474,口いっぱいに炊き立てのご飯を頬張ったあの満足感
1475,シャリという小さな米の塊が、日本に生まれてよかったと思わせてくれるのだ
1476,≪ネタに関して≫ほぼ全てのネタに工夫がなされている
1477,マグロはみんなの前で塊を取出し、それを使う分だけ切って、すべて醤油に潜らせるそうだ
1478,そうすることによって、美味いネタがより美味くなる
1479,また、握るネタが変わるごとに、そのネタのウンチクが語られる
1480,ただのウンチクではない
1481,鮨を百倍、いや千倍楽しく美味しく食すためのウンチクだ
1482,鮨の食べ方や、ネタの美味しい季節、密漁や輸入品の知識、養殖業界の事情
1483,
1484,思わず、へえ、とうなずいてしまうことばかり
1485,何回か初音に通っているが、大将の放った台詞で、個人的に大好きなフレーズがある
1486,それは鰆の握りが出てきた時、とある客が放った質問の答えだった
1487,鰆の握りは、贅沢にも背と腹の身を重なっており、それを疑問に思った客が、「どうして背と腹を両方出すのか
1488,片方じゃダメなのか」と訊いた
1489,大将は言った
1490,「背に腹は代えられねえって言うでしょう」思わず吹き出してしまいそうになった
1491,大将はドヤ顔
1492,質問者はほえ～と納得
1493,恐らく大将は、すべてのネタに対してそういう思想なり言葉なりを持っているのだろう
1494,大将のそういう粋なところが好きだ
1495,≪握りに関して≫シャリは小ぶりだが小さくはない
1496,口の中ではらりと崩れる感じは、まるで最高級のフカヒレ、いやそれ以上だ
1497,アナゴやウニを握る際は、手渡しで握りを渡される
1498,これを一気に頬張ることが、どれだけ快感か
1499,普段、質素な生活をしている私にとって、美味いもので口をいっぱいに満たすことは最高級の快楽だ
1500,大将はまだ年齢的に若い
1501,（と言っても四十代か
1502,）鮨の道はとても深いだろう
1503,探究熱心な大将のことだから、これからも進化し続けていくに違いない
1504,十年後も二十年後も、大将の鮨を食えたら私は幸せ者だ
1505,≪酒に関して≫日本酒、イイのがあるんですよ
1506,日によって入ってる酒は違うが、大将に任せて問題ナシ
1507,今まで外れたことありません
1508,≪価格に関して≫コースは１人一万六千円くらい
1509,ビールや日本酒を頂いても、二万円そこらだ
1510,決して蒲田価格とは言えない
1511,だが、内容と満足感を考えれば安い
1512,事前に予約制なのは、客ひとりのために炊き立てのシャリを用意するから
1513,六本木・銀座の予約制有名店に行けば、それは当然だろう
1514,だが、そういう店は、ひとりあたり２万円は余裕に超える
1515,銀座のさわ田なんぞコースだけで３万とか
1516,まあ、銀座なんていうのは会社の経費で好きなものを食べられるオジサマがわんさかいるので、３６５日高い価格設定でも、客入りはすこぶる良いだろうけど
1517,そういう有名店を凌ぐ美味さの鮨が酒を飲んで二万なら、通い続けない道はない
1518,≪女将と大将に関して≫このレビューのタイトル通りです
1519,美女と野獣
1520,どちらも常に笑顔でたいへん素敵だが、怒ったら怖いのは間違いなく女将さんだと思う
1521,美女が怒ったら、どんな男も震え上がるからね
1522,
1523,私のつたない文章ではこれが精いっぱいだ
1524,初音の良さを伝えきるのは難しい
1525,だから来店して、その味を確かめて欲しい
1526,ただ一点、個人的な要望を出すのなら
1527,
1528,おかわりがしたい（笑）脳は満足しているのに、胃が「もっとくれ
1529,もっと食わせろ
1530,」と言うのだ
1531,脳「そこらへんにしとき
1532,財布のことも考えないとアカン」胃「うるせー美味いもん食わせろ
1533,コハダとウニおかわり
1534,」私の脳と胃は、こういうやりとりをしている
1535,絶対にしている
1536,他のレビューを見ると、追加注文をしている人がいるようで
1537,その日の客入りやネタ次第なのかな
1538,ま、食べ過ぎると太るから、コースだけでも丁度いいんだけどね
1539,
1540,蒲田です
1541,羽田空港からタクシーで２５分ほど１０分前に到着
1542,お寿司屋さんとは思えない外観です
1543,店内も素晴らしい
1544,このお店かなり賛否が分かれると思います
1545,日本一せわしないお寿司屋さんです
1546,まず量が多いです大食い早食いの方にはお勧めです
1547,あと１時間半と言う限られた中で展開されるのでほぼわんこ寿司状態です
1548,この量だと２時間は欲しいですね
1549,隣の女性は手渡しウニを片手に海苔巻き貝柱を食べてました、ちょっと複雑です
1550,せっかくのいいネタなのに残念です
1551,ただパフォーマンスは楽しかったです♪ほんとにネタは素晴らしかったです
1552,店側のペースで出てくるのでお酒のペアリングは難しかったです
1553,早食い大食い時間の無い方には間違いなくお勧めです
1554,マグロかなり良かったです
1555,うにの旨味もかなりのもんでした
1556,
1557,言わずと知れた超名店のミシュラン星のお店名物大将と女将さんのやりとりも楽しみ中々予約とれないですが知り合いから席情報が入り速攻で予約しました
1558,お値段は初めに振込むルール宴は最初から最後まで笑いあり涙ありでまさにミュージカル鮨以前きたときから改装して凄い作りになっててびっくり‼️猪俣さんも握ってくれて感動〜本当に味もさる事ながら楽しませてくれるお店でしたまた行きたいと思います
1559,
1560,"●昼のおまかせ(35,000円)現在は休業中の蒲田の名店"
1561,此方は、所謂寿司屋というのは少し違う
1562,魚を旨く頂く、その完成形が鮨である
1563,そういうエンターテイメントを楽しむ空間
1564,凡そ一口で頬張るのは難儀、それが超弩級のネタとシャリで20カン程続くのですから、幸福感&満腹感は他の追随を許さないクオリティ
1565,これでもかと前に出るご主人と、一歩下がって全体を温かく見渡す女将さんのホスピタリティが絶妙の組み合わせ
1566,お値段は張りますが、また来たくなる、そんなお店です☆☆☆
1567,蒲田の初音鮨さんへ
1568,温かいお出汁から始まりつまみへ
1569,春を感じる桜海老や赤貝空豆など
1570,美味しいつまみにお酒が進む
1571,この日の鮪の紹介を
1572,"なんと1kg45,000円らしい"
1573,
1574,そして、シャリ作りへ
1575,目の前で酢のツンとする香りがくる
1576,そして、おこげもいただく
1577,鮪を刺身で
1578,塩を振り、そのまま山葵でいただく
1579,大とろの脂から中とろの爽やかな旨み、赤身の鉄分までを味わう
1580,泥障烏賊はねっとりと噛むほどに甘く、唐墨の塩気とシャリのほのかな酸と合わさり美味しかった
1581,小肌は少し温度を上げて旨みを味わう
1582,ここからは旨みを引き出した寝かせたネタを
1583,そしてとろける尾の身がかなり良かった
1584,じっくり寝かせた喉黒は、脂の味が絶品
1585,特大サイズの牡蠣は蕗味噌がよく合い、美味しかった
1586,そして、猪股さんの握りに
1587,雲丹は塩で
1588,濃厚で口の中で甘みが広がり、シャリと絡む
1589,もう終わりの越前蟹をシャリと
1590,そして、漬けにした中とろも美味しい
1591,さらにその間に虎河豚の白子の茶碗蒸し
1592,なんとも贅沢な流れ
1593,初音鮨といえば鮪
1594,いよいよクライマックスの大とろの漬けの炙り
1595,藁の香ばしさと漬けの旨みと大とろの上品な脂が一体になり食べたことのない美味しさに
1596,山のカウンターから海のカウンターに場所を移してデザートと美味しいコーヒーをいただく
1597,この葛切りが絶品でした
1598,残った黒糖にアイスを入れて、二度おいしい
1599,濃厚な2
1600,5時間でした
1601,ご馳走さまでした
1602,＊
1603,白身のお出汁01
1604,地蛸
1605,神奈川鴨居
1606,5
1607,2kg02
1608,先付
1609,＊
1610,渡蟹沖漬け＊
1611,桜海老
1612,赤貝と花山葵＊
1613,余市鮟肝
1614,空豆＊
1615,蛤の酒蒸しと蕨＊
1616,日本酒天晴と＊
1617,鮪
1618,那智勝浦
1619,167
1620,4kg
1621,延縄03
1622,おこげ04
1623,鮪三種刺身
1624,大とろ
1625,中とろ
1626,赤身
1627,塩で05
1628,泥障烏賊鹿児島と唐墨の握り06
1629,小肌握り
1630,佐賀07
1631,桜鯛握り
1632,神奈川三浦
1633,5
1634,2kg
1635,20日寝かせて08
1636,鰆握り
1637,背と腹を合わせて
1638,1ヶ月ほど寝かせて09
1639,ナガスクジラの尾の身握り10
1640,喉黒握り
1641,対馬
1642,3/8
1643,20日寝かせて11
1644,牡蠣握り
1645,赤崎
1646,蕗味噌で＊
1647,牡蠣のエキス12
1648,雲丹握り
1649,ダイセン青森
1650,塩で13
1651,鮪赤身握り
1652,漬け14
1653,越前蟹
1654,蟹味噌とシャリを合わせて15
1655,鮪中とろ握り
1656,漬け16
1657,虎河豚白子の茶碗蒸し17
1658,鮪大とろ握り
1659,湯霜にして漬けに最後に藁焼きに18
1660,鮪手巻き
1661,全部入り19
1662,干瓢巻20
1663,玉子＊
1664,自家製葛切り
1665,西表島の黒糖で＊
1666,自家製アイス＊
1667,コーヒー
1668,６，７年ぶりに来店
1669,以前は母と何回か訪れたが、他界してしまって、久しぶりの来店となりました
1670,外観が、白壁の少し洋風になっていて、通り過ぎてしまいました
1671,内装もあんまり統一感がないというか・・・この辺りは、大井町の萬来園にも通ずる下町風でご愛嬌
1672,大将は、黒澤明やスティーブジョブズが言っていたように「好きなことを見つけて、努力する」そのままの方だと思いました
1673,鮨が好きで、話好き、その二つを合わせて、いきいきと仕事をなさっている
1674,しかも、以前訪れた時より鮨が進化していた
1675,一斉に知らない人と隣同士になって、鮨を食べ始めるのは違和感がありましたが（６，７年前は違った気がする）美味しさを逃さないためには合理的なのだと気が付きました
1676,日本酒も、その場のお客のために開封しているのです
1677,食事は会話を楽しむとか、器を楽しむとか、雰囲気を楽しむとかいろいろありますが、こちらでは、大将が研究した
1678,鮨をとことん楽しむ会なのでした
1679,楽しかったです
1680,お会計は、びっくりでしたけど・・・本当においしいものを食べたければ出世しなければならないとは、辻静雄さんの言葉です
1681,
1682,初めての初音鮨
1683,
1684,シンガポールからの帰国後直ぐの初音鮨だったので帰国するのが既に楽しみで仕方なかった
1685,噂通りの店構え
1686,鮨屋なのか
1687,ここは
1688,と思ったが店内は更に凄かった
1689,東京鮨ショーのパフォーマンス半端ない
1690,鮨ネタはもちろんだが大将と猪俣大将のコンビでの握りは絶妙なバランスの一品料理と鮨握りに恐れいりました
1691,地元の大好きな鮨屋の大将にお薦めして頂き行ってきました
1692,電話予約のときからそうでしたが、大将さんと美人奥様の丁寧な接客がとても感じが良いのが最初の第一印象です
1693,実際に訪れてみても大将さんは、色んなお話をして頂き楽しくお鮨を頂けます
1694,笑顔が素敵な方ですが、お鮨を握るときと提供してくれる時の目の奥がキラリと光るのを確かに感じられる強い眼差しはお鮨に対する熱意と言うか真剣そのものを感じとることができます
1695,奥様は大将さんのお手伝いを絶妙なタイミングでされていて、美味しいお鮨を握ってくれる大将さんはもちろん、奥様にもとても感心させられました
1696,お鮨も一工夫加えられたオリジナル溢れるネタが多い印象です
1697,シャリは今まで食べたことない味わい、香りです
1698,見た目もお酢の効果で赤黒く濃いです
1699,全体的に好印象のお店です
1700,
1701,ネタ選びの目利きレベルは高い
1702,だが、仕事が通り一遍の印象で残念
1703,なんでもかんでも昆布っていうのはちょっとね
1704,ネタの素材に応じてそれを活かす仕事もあったほうがいい
1705,包丁のレベルがあがると、面白いかも
1706,赤酢は好きだが熟成が強すぎるのも寿司には必ずしも合うものとはいえないかな
1707,夏に食べたくなるキリっとした江戸前ってのとはちょっと違う
1708,なお、カツオの巻物は絶品
1709,おそらく、今まで生きてきた中で一番うまかった
1710,おもわずおかわり
1711,☆７くらいの印象で（笑）ビッグサプライズ
1712,あくまで、私見だが、おきまり＋＠でお願いするほうがいいと思う
1713,おまかせ１５０００円だったが、満足度からすると７０００円かな
1714,
